Comment,Designator,Footprint,LCSC,Quantity
MX_SW_solder,MX41,SW_MX_1u,,1
MX_SW_solder,MX23,SW_MX_1u,,1
MX_SW_solder,MX36,SW_MX_1u,,1
MX_SW_solder,MX3,SW_MX_1u,,1
MX_SW_solder,MX37,SW_MX_1u,,1
MX_SW_solder,MX14,SW_MX_1u,,1
MX_SW_solder,MX53,SW_MX_1u,,1
MX_SW_solder,MX56,SW_MX_1u,,1
MX_SW_solder,MX40,SW_MX_1u,,1
MX_SW_solder,MX33,SW_MX_1u,,1
MX_SW_solder,MX47,SW_MX_1u,,1
MX_SW_solder,MX16,SW_MX_1u,,1
MX_SW_solder,MX59,SW_MX_1u,,1
MX_stab,RightShiftStab1,STAB_MX_P_2.75u,,1
MX_SW_solder,MX18,SW_MX_1u,,1
MX_stab,BackSpaceStab1,STAB_MX_P_2.25u,,1
MX_stab,LeftShiftStab1,STAB_MX_P_2.75u,,1
MX_SW_solder,MX11,SW_MX_1u,,1
MX_SW_solder,MX12,SW_MX_1u,,1
MX_SW_solder,MX31,SW_MX_1u,,1
MX_SW_solder,MX30,SW_MX_1u,,1
MX_SW_solder,MX49,SW_MX_1u,,1
MX_SW_solder,MX57,SW_MX_1u,,1
MX_SW_solder,MX52,SW_MX_1u,,1
MX_stab,SpaceStab1,STAB_MX_P_6.25u,,1
MX_SW_solder,MX10,SW_MX_1u,,1
MX_SW_solder,MX54,SW_MX_1u,,1
MX_SW_solder,MX35,SW_MX_1u,,1
MX_SW_solder,MX9,SW_MX_1u,,1
MX_SW_solder,MX32,SW_MX_1u,,1
MX_SW_solder,MX19,SW_MX_1u,,1
MX_SW_solder,MX43,SW_MX_1u,,1
MX_stab,EnterStab1,STAB_MX_P_2.25u,,1
MX_SW_solder,MX2,SW_MX_1u,,1
MX_SW_solder,MX42,SW_MX_1u,,1
YAAJ_BluePill,U4,YAAJ_BluePill_1,,1
MX_SW_solder,MX60,SW_MX_1u,,1
MX_SW_solder,MX21,SW_MX_1u,,1
MX_SW_solder,MX34,SW_MX_1u,,1
MX_SW_solder,MX27,SW_MX_1u,,1
MX_SW_solder,MX28,SW_MX_1u,,1
MX_SW_solder,MX58,SW_MX_1u,,1
MX_SW_solder,MX5,SW_MX_1u,,1
MX_SW_solder,MX38,SW_MX_1u,,1
MX_SW_solder,MX61,SW_MX_1u,,1
MX_SW_solder,MX24,SW_MX_1u,,1
MX_SW_solder,MX48,SW_MX_1u,,1
MX_SW_solder,MX44,SW_MX_1u,,1
MX_SW_solder,MX1,SW_MX_1u,,1
MX_SW_solder,MX20,SW_MX_1u,,1
MX_SW_solder,MX4,SW_MX_1u,,1
MX_SW_solder,MX8,SW_MX_1u,,1
